id,repo,num_lines_changed,num_files_changed,num_linked_prs,num_linked_commits,html_url
674307542,pmd/pmd,658029,3183,148,5,https://github.com/pmd/pmd/issues/2701
1136254032,pmd/pmd,562807,3112,5,1,https://github.com/pmd/pmd/issues/3784
1127735562,pmd/pmd,539212,2408,15,1,https://github.com/pmd/pmd/issues/3766
1205642456,pmd/pmd,342453,3027,3,1,https://github.com/pmd/pmd/issues/3919
622460103,pmd/pmd,279094,3212,7,1,https://github.com/pmd/pmd/issues/2518
377177984,pmd/pmd,269968,2988,18,1,https://github.com/pmd/pmd/issues/1432
551817704,pmd/pmd,240761,2712,16,1,https://github.com/pmd/pmd/issues/2239
1030677948,pmd/pmd,214533,2276,5,2,https://github.com/pmd/pmd/issues/3569
729794927,pmd/pmd,213230,2316,2,1,https://github.com/pmd/pmd/issues/2873
1226399501,pmd/pmd,212728,2277,2,2,https://github.com/pmd/pmd/issues/3953
273054421,pmd/pmd,212718,2277,1,2,https://github.com/pmd/pmd/issues/730
1144671265,pmd/pmd,212694,2276,1,0,https://github.com/pmd/pmd/issues/3798
330355082,soot-oss/SootUp,208167,1200,1,0,https://github.com/soot-oss/SootUp/issues/21
330355194,soot-oss/SootUp,208167,1200,1,0,https://github.com/soot-oss/SootUp/issues/22
205400828,pmd/pmd,188067,2221,3,0,https://github.com/pmd/pmd/issues/237
325730860,pmd/pmd,172234,1100,4,0,https://github.com/pmd/pmd/issues/1139
335195885,pmd/pmd,168155,2168,2,2,https://github.com/pmd/pmd/issues/1204
1228627834,pmd/pmd,166069,897,1,1,https://github.com/pmd/pmd/issues/3959
1228870078,pmd/pmd,166053,896,1,0,https://github.com/pmd/pmd/issues/3962
269348277,pmd/pmd,161794,2213,7,0,https://github.com/pmd/pmd/issues/693
