files,language,blank,comment,code,"github.com/AlDanial/cloc v 2.06  T=4.52 s (1040.3 files/s 133978.1 lines/s)"
2997,Java,40858,51583,156453
606,XML,12006,699,131929
325,Text,15,0,74863
150,Markdown,7631,68,31384
146,Kotlin,5313,1800,20914
35,Apex Class,414,746,12485
8,SVG,37,2,10138
15,ANTLR Grammar,1321,898,9084
44,Maven,306,99,5456
59,HTML,156,53,3554
24,YAML,165,119,2590
22,JSON,7,0,2102
23,XSLT,154,42,1679
15,Swift,302,569,1626
28,JavaScript,361,384,1614
11,CSS,292,63,1567
9,Bourne Shell,214,252,1246
12,SQL,224,367,880
13,Scala,166,326,789
14,Ruby,220,206,634
4,Go,111,82,556
7,MATLAB,181,388,531
6,XSD,36,4,465
3,DOS Batch,40,27,298
3,Fortran 90,43,0,214
6,Python,40,47,212
15,C++,31,17,205
4,Objective-C,42,26,164
10,Visualforce Page,2,12,131
12,C#,21,15,127
29,Properties,70,256,117
1,Fortran 77,21,31,116
2,Groovy,38,26,100
14,Dart,5,22,78
2,Cucumber,9,0,70
3,TypeScript,22,30,55
5,Lua,8,14,47
3,Modelica,1,0,40
1,DTD,0,0,32
1,C,2,0,27
1,Dockerfile,7,0,19
2,JSP,2,3,19
1,Ant,2,0,17
2,Velocity Template Language,1,0,17
1,Julia,4,13,16
1,Bourne Again Shell,3,1,15
1,Perl,5,12,12
1,Rust,3,9,3
4697,SUM,70912,59311,474690
