Repository,Stars,Issues,Pull Requests,Commits,Unique Users,Host
Total,51648,19284,27170,175595,8121,Github
facebook/infer,15237,1392,423,15043,987,Github
phpstan/phpstan,13420,9020,6132,12600,2673,Github
pmd/pmd,5107,2661,2837,29686,1029,Github
scottrogowski/code2flow,4314,76,31,126,84,Github
spotbugs/spotbugs,3669,1314,2047,17747,851,Github
soot-oss/soot,2979,1199,939,7633,683,Github
secure-software-engineering/FlowDroid,1135,486,333,1833,291,Github
secure-software-engineering/phasar,987,194,580,3214,105,Github
security-code-scan/security-code-scan,954,200,83,1074,130,Github
diffblue/cbmc,924,1347,7302,28346,321,Github
wala/WALA,802,483,1027,7319,203,Github
soot-oss/SootUp,695,571,669,7700,139,Github
phpstan/phpstan-src,360,0,4050,0,441,Github
vitsalis/PyCG,344,49,25,233,43,Github
cs-au-dk/TAJS,196,19,3,28,14,Github
arguslab/Argus-SAF,190,84,4,513,44,Github
plast-lab/doop,179,73,232,15168,12,Github
MIT-PAC/droidsafe-src,96,11,0,3436,11,Github
opalj/opal,60,46,223,15791,28,Github
yanniss/doop-deprecated,0,59,230,8105,32,Bitbucket
