tool_name,Language Features,Unsupported Framework/Library,Static Analysis Tasks,Tool Capabilities,Software Artifacts,Build Issues,Performance and Usability,Maintenance Tasks,No Group
PHPStan,31.645161290322584,3.5483870967741935,21.064516129032256,20.387096774193548,3.5483870967741935,3.612903225806452,2.2795698924731185,1.6236559139784945,12.290322580645162
Soot,1.8136850783182192,0.16488046166529266,36.521022258862324,31.4921681780709,3.7922506183017313,6.7600989282769985,2.8854080791426218,1.4014839241549877,15.169002473206925
PMD,13.574326816672814,8.779048321652528,2.3607524898561416,47.952784950202876,11.17668756916267,7.893766137956473,2.8771670970121725,0.8115086683880488,4.5739579490962745
FlowDroid,0.4098360655737705,0.20491803278688525,55.32786885245902,21.92622950819672,1.4344262295081966,9.836065573770492,1.8442622950819672,0.6147540983606558,8.401639344262295
SpotBugs,11.933534743202417,0.9818731117824773,9.138972809667674,25.45317220543807,8.761329305135952,26.435045317220546,1.6616314199395772,1.2084592145015105,14.425981873111782
Infer,1.5647226173541962,0.0,12.51778093883357,15.007112375533428,2.9160739687055477,45.80369843527738,9.174964438122332,0.7823613086770981,12.233285917496444
SCS,1.8867924528301887,3.7735849056603774,6.132075471698113,16.50943396226415,3.30188679245283,1.4150943396226416,8.49056603773585,1.8867924528301887,56.60377358490566
CBMC,1.824817518248175,0.21897810218978103,9.416058394160585,55.03649635036496,3.64963503649635,10.0,4.452554744525548,3.8686131386861313,11.532846715328466
Amandroid,3.488372093023256,0.0,31.3953488372093,32.55813953488372,3.488372093023256,10.465116279069768,3.488372093023256,1.1627906976744187,13.953488372093023
WALA,3.2520325203252036,0.20325203252032523,38.82113821138211,18.089430894308943,3.6585365853658534,22.5609756097561,2.8455284552845526,0.0,10.569105691056912
Phasar,1.6528925619834711,0.4132231404958678,21.90082644628099,8.264462809917356,5.785123966942149,22.31404958677686,31.40495867768595,0.8264462809917356,7.43801652892562
PyCG,2.0408163265306123,0.0,44.89795918367347,30.612244897959183,8.16326530612245,4.081632653061225,0.0,0.0,10.204081632653061
SootUp,3.826955074875208,0.16638935108153077,40.93178036605657,16.97171381031614,10.149750415973378,9.151414309484194,7.820299500831947,1.497504159733777,9.484193011647255
Code2Flow,5.128205128205128,0.0,35.8974358974359,26.923076923076923,10.256410256410255,7.6923076923076925,5.128205128205128,1.282051282051282,7.6923076923076925
OPAL,3.8461538461538463,0.0,28.846153846153843,21.153846153846153,15.384615384615385,3.8461538461538463,21.153846153846153,0.0,5.769230769230769
DOOP,0.0,0.0,27.397260273972602,5.47945205479452,4.10958904109589,23.28767123287671,1.36986301369863,0.0,38.35616438356164
DroidSafe,0.0,0.0,0.0,63.63636363636363,0.0,9.090909090909092,9.090909090909092,0.0,18.181818181818183
TAJS,10.526315789473683,5.263157894736842,15.789473684210526,31.57894736842105,5.263157894736842,5.263157894736842,0.0,5.263157894736842,21.052631578947366
